# BUSCO version is: 3.0.2 
# The lineage dataset is: metazoa_odb9 (Creation date: 2016-02-13, number of species: 8, number of BUSCOs: 982)
# To reproduce this run: python /home/banaeiak/miniconda3/envs/Busco/bin/run_BUSCO.py -i HAEM_V3.3.chr.fa -o HAEM_V3.3.chr.faBuscoResult.txt -l ../Database/nematoda_odb9/ -m genome -c 4 -sp caenorhabditis
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG091H0002	Complete	hcontortus_1_chr4_Celeg_TT	20830830	20852494	7783.4	4508
EOG091H000H	Complete	hcontortus_5_chr3_Celeg_TT	20609133	20652354	3471.3	3503
EOG091H0016	Complete	hcontortus_7_chrX_Celeg_Tb	17173943	17392978	1278.7	1287
EOG091H001E	Missing
EOG091H0021	Complete	hcontortus_4_chr1_Celeg_TT	21329293	21341767	1883.0	1373
EOG091H0025	Complete	hcontortus_1_chr4_Celeg_TT	39133867	39147895	1171.6	846
EOG091H0026	Complete	hcontortus_5_chr3_Celeg_TT	18053296	18078550	2759.5	1857
EOG091H0027	Complete	hcontortus_3_chr2_Celeg_TT	3920280	3930428	1451.9	905
EOG091H0029	Missing
EOG091H002E	Complete	hcontortus_3_chr2_Celeg_TT	36433680	36446201	3340.6	1812
EOG091H002I	Complete	hcontortus_4_chr1_Celeg_TT	36324635	36342069	1419.3	1323
EOG091H002T	Complete	hcontortus_7_chrX_Celeg_Tb	7500547	7512229	2025.7	1693
EOG091H0034	Complete	hcontortus_4_chr1_Celeg_TT	2335939	2351124	2312.8	1830
EOG091H0037	Complete	hcontortus_1_chr4_Celeg_TT	29391277	29423088	2125.5	1207
EOG091H003H	Complete	hcontortus_5_chr3_Celeg_TT	9527298	9555985	917.7	1131
EOG091H003N	Complete	hcontortus_7_chrX_Celeg_Tb	2682736	2698513	2903.4	1746
EOG091H003X	Missing
EOG091H004B	Complete	hcontortus_6_chrX_Celeg_Ta	2783392	2801520	1090.1	1433
EOG091H004H	Complete	hcontortus_5_chr3_Celeg_TT	40996431	41010600	1482.1	853
EOG091H004L	Complete	hcontortus_7_chrX_Celeg_Tb	1722735	1740634	2074.1	1087
EOG091H004P	Complete	hcontortus_6_chrX_Celeg_Ta	8424072	8481434	2474.5	1483
EOG091H004U	Complete	hcontortus_4_chr1_Celeg_TT	15162572	15173140	3226.4	1612
EOG091H005M	Missing
EOG091H0061	Complete	hcontortus_6_chrX_Celeg_Ta	2467309	2482176	1843.5	1134
EOG091H0069	Complete	hcontortus_3_chr2_Celeg_TT	15904589	15929513	966.4	803
EOG091H006B	Complete	hcontortus_3_chr2_Celeg_TT	4370589	4382881	1316.8	1010
EOG091H006J	Complete	hcontortus_4_chr1_Celeg_TT	10650530	10663967	570.7	685
EOG091H006P	Complete	hcontortus_1_chr4_Celeg_TT	20753135	20768411	1489.6	892
EOG091H0074	Complete	hcontortus_3_chr2_Celeg_TT	38865002	38873580	824.3	899
EOG091H007C	Fragmented	hcontortus_4_chr1_Celeg_TT	32833132	32843490	1096.1	888
EOG091H007E	Complete	hcontortus_3_chr2_Celeg_TT	3237636	3253884	1412.5	1099
EOG091H007U	Complete	hcontortus_4_chr1_Celeg_TT	43729887	43740191	1475.8	847
EOG091H0081	Complete	hcontortus_5_chr3_Celeg_TT	32082657	32096368	2122.6	1144
EOG091H008D	Complete	hcontortus_2_chr5_Celeg_TT	19769269	19781969	559.7	426
EOG091H008P	Complete	hcontortus_2_chr5_Celeg_TT	33009288	33029739	1620.8	1002
EOG091H008Q	Complete	hcontortus_3_chr2_Celeg_TT	29938795	29959428	943.5	1091
EOG091H008U	Complete	hcontortus_5_chr3_Celeg_TT	41946610	41961871	1311.8	1008
EOG091H008Z	Complete	hcontortus_3_chr2_Celeg_TT	30431898	30441372	661.5	796
EOG091H0090	Complete	hcontortus_2_chr5_Celeg_TT	4666385	4673767	1252.5	770
EOG091H0092	Complete	hcontortus_5_chr3_Celeg_TT	42138543	42157911	1835.8	1039
EOG091H00AU	Complete	hcontortus_1_chr4_Celeg_TT	24415254	24427656	1346.6	851
EOG091H00B7	Complete	hcontortus_2_chr5_Celeg_TT	44015103	44035218	1195.2	895
EOG091H00C4	Missing
EOG091H00CS	Complete	hcontortus_3_chr2_Celeg_TT	2488132	2501200	1644.2	1046
EOG091H00D9	Complete	hcontortus_4_chr1_Celeg_TT	43382371	43391012	507.3	985
EOG091H00DA	Complete	hcontortus_5_chr3_Celeg_TT	34954380	34960396	591.1	393
EOG091H00DB	Complete	hcontortus_1_chr4_Celeg_TT	48697707	48706674	1709.5	1007
EOG091H00DM	Complete	hcontortus_2_chr5_Celeg_TT	1570183	1577954	1902.2	1004
EOG091H00E0	Complete	hcontortus_5_chr3_Celeg_TT	1243942	1252180	1686.5	880
EOG091H00EC	Complete	hcontortus_1_chr4_Celeg_TT	2058775	2081709	1819.8	927
EOG091H00EN	Complete	hcontortus_5_chr3_Celeg_TT	41251359	41265072	354.6	308
EOG091H00ER	Missing
EOG091H00EY	Complete	hcontortus_5_chr3_Celeg_TT	26284883	26300087	1889.9	934
EOG091H00FN	Complete	hcontortus_2_chr5_Celeg_TT	42219202	42230224	1430.8	888
EOG091H00G5	Complete	hcontortus_2_chr5_Celeg_TT	34854218	34861911	461.5	741
EOG091H00GC	Complete	hcontortus_6_chrX_Celeg_Ta	8089439	8102917	608.3	689
EOG091H00GI	Complete	hcontortus_5_chr3_Celeg_TT	14910940	14915949	1655.8	862
EOG091H00GM	Complete	hcontortus_7_chrX_Celeg_Tb	3132712	3145072	935.1	793
EOG091H00GZ	Complete	hcontortus_2_chr5_Celeg_TT	37091501	37108555	1318.5	729
EOG091H00H9	Complete	hcontortus_1_chr4_Celeg_TT	48672481	48694850	1146.1	692
EOG091H00HI	Complete	hcontortus_6_chrX_Celeg_Ta	1218733	1232487	814.9	605
EOG091H00HN	Complete	hcontortus_4_chr1_Celeg_TT	41716042	41721603	1412.2	839
EOG091H00I6	Complete	hcontortus_2_chr5_Celeg_TT	3059463	3072587	1084.6	580
EOG091H00IN	Complete	hcontortus_1_chr4_Celeg_TT	46306492	46316536	1863.9	816
EOG091H00IO	Complete	hcontortus_1_chr4_Celeg_TT	50207170	50221046	1571.3	902
EOG091H00JC	Complete	hcontortus_2_chr5_Celeg_TT	2725797	2731808	924.8	755
EOG091H00JN	Fragmented	hcontortus_7_chrX_Celeg_Tb	5732941	5751134	973.5	749
EOG091H00JR	Complete	hcontortus_3_chr2_Celeg_TT	4958043	4984245	1184.2	804
EOG091H00JS	Complete	hcontortus_5_chr3_Celeg_TT	25860041	25873287	1071.1	658
EOG091H00K1	Complete	hcontortus_3_chr2_Celeg_TT	3017056	3023426	1417.5	819
EOG091H00K2	Missing
EOG091H00K6	Complete	hcontortus_3_chr2_Celeg_TT	34473295	34480533	884.1	451
EOG091H00K8	Fragmented	hcontortus_1_chr4_Celeg_TT	5441893	5449704	1611.0	803
EOG091H00KI	Complete	hcontortus_3_chr2_Celeg_TT	6034088	6041421	1543.7	875
EOG091H00KL	Complete	hcontortus_4_chr1_Celeg_TT	13523763	13534986	1054.9	671
EOG091H00KR	Complete	hcontortus_1_chr4_Celeg_TT	36583629	36601372	824.2	811
EOG091H00L2	Duplicated	hcontortus_4_chr1_Celeg_TT	40301022	40320163	1004.5	562
EOG091H00L2	Duplicated	hcontortus_4_chr1_Celeg_TT	40328895	40335143	1148.3	575
EOG091H00L8	Complete	hcontortus_3_chr2_Celeg_TT	25870145	25883664	1554.6	822
EOG091H00LE	Missing
EOG091H00LI	Complete	hcontortus_2_chr5_Celeg_TT	7588598	7597038	551.9	842
EOG091H00LY	Complete	hcontortus_4_chr1_Celeg_TT	43154422	43159855	928.6	538
EOG091H00M0	Complete	hcontortus_1_chr4_Celeg_TT	1845627	1856978	1610.1	793
EOG091H00MA	Complete	hcontortus_1_chr4_Celeg_TT	31753536	31767123	1151.8	824
EOG091H00ME	Complete	hcontortus_4_chr1_Celeg_TT	30239952	30248744	923.2	704
EOG091H00MR	Complete	hcontortus_7_chrX_Celeg_Tb	8314476	8329480	979.9	926
EOG091H00MS	Complete	hcontortus_7_chrX_Celeg_Tb	10057769	10069720	648.6	493
EOG091H00N0	Complete	hcontortus_3_chr2_Celeg_TT	4217690	4224363	1686.9	903
EOG091H00N1	Complete	hcontortus_5_chr3_Celeg_TT	2784628	2804827	1110.2	787
EOG091H00NA	Complete	hcontortus_2_chr5_Celeg_TT	27340130	27351344	1407.4	737
EOG091H00NH	Complete	hcontortus_4_chr1_Celeg_TT	13950921	13955206	1620.9	752
EOG091H00NK	Complete	hcontortus_2_chr5_Celeg_TT	45775582	45780146	410.1	306
EOG091H00NL	Complete	hcontortus_2_chr5_Celeg_TT	20486205	20507062	641.6	672
EOG091H00NM	Complete	hcontortus_4_chr1_Celeg_TT	32316312	32324813	826.0	754
EOG091H00NT	Complete	hcontortus_3_chr2_Celeg_TT	11922778	11949216	641.2	600
EOG091H00O1	Complete	hcontortus_3_chr2_Celeg_TT	5008281	5019833	1318.8	741
