# BUSCO version is: 3.0.2 
# The lineage dataset is: metazoa_odb9 (Creation date: 2016-02-13, number of species: 8, number of BUSCOs: 982)
# To reproduce this run: python /home/banaeiak/miniconda3/envs/Busco/bin/run_BUSCO.py -i haemonchus_contortus.PRJEB506.WBPS9.genomic.fa -o haemonchus_contortus.PRJEB506.WBPS9.genomic.faBuscoResult.txt -l ../Database/nematoda_odb9/ -m genome -c 4 -sp caenorhabditis
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG091H0002	Complete	scaffold_3345	1	27385	9640.9	5442
EOG091H000H	Missing
EOG091H0016	Missing
EOG091H001E	Missing
EOG091H0021	Missing
EOG091H0025	Complete	scaffold_60	201118	215906	1171.5	838
EOG091H0026	Complete	scaffold_1588	38028	64508	2611.3	2505
EOG091H0027	Complete	scaffold_1435	49603	68332	1586.9	931
EOG091H0029	Missing
EOG091H002E	Complete	scaffold_28	317715	331066	3518.4	1917
EOG091H002I	Complete	scaffold_232	172387	190424	1430.5	1333
EOG091H002T	Complete	scaffold_217	35441	46207	646.8	520
EOG091H0034	Complete	scaffold_1089	32461	47542	2320.8	1829
EOG091H0037	Complete	scaffold_146	37699	69353	2071.7	1207
EOG091H003H	Complete	scaffold_17	396168	426017	988.2	1352
EOG091H003N	Complete	scaffold_635	73388	84766	1965.5	1753
EOG091H003X	Missing
EOG091H004B	Complete	scaffold_13	61541	73060	965.7	1079
EOG091H004H	Complete	scaffold_725	39787	54597	1482.9	861
EOG091H004L	Complete	scaffold_203	198571	214286	2078.8	1083
EOG091H004P	Missing
EOG091H004U	Complete	scaffold_395	3846	14620	3226.4	1612
EOG091H005M	Missing
EOG091H0061	Complete	scaffold_13	372014	392942	1702.6	1120
EOG091H0069	Complete	scaffold_50	1	16775	998.0	775
EOG091H006B	Missing
EOG091H006J	Complete	scaffold_454	47143	65551	654.6	759
EOG091H006P	Complete	scaffold_2427	34745	41908	862.8	690
EOG091H0074	Complete	scaffold_504	77351	85879	824.3	899
EOG091H007C	Complete	scaffold_1761	8016	18374	1104.0	946
EOG091H007E	Complete	scaffold_1012	81143	90761	993.0	676
EOG091H007U	Missing
EOG091H0081	Complete	scaffold_530	26896	35483	2107.5	1151
EOG091H008D	Complete	scaffold_3218	7793	18238	560.7	426
EOG091H008P	Duplicated	scaffold_3344	3975	22875	1619.0	1002
EOG091H008P	Duplicated	scaffold_500	32279	52739	1620.8	1002
EOG091H008Q	Fragmented	scaffold_363	56045	71234	650.7	673
EOG091H008U	Duplicated	scaffold_1605	39057	55087	1291.1	984
EOG091H008U	Duplicated	scaffold_717	16573	31734	1233.9	960
EOG091H008Z	Missing
EOG091H0090	Missing
EOG091H0092	Complete	scaffold_2758	9637	27585	1835.8	1039
EOG091H00AU	Complete	scaffold_1353	48939	61739	1436.5	898
EOG091H00B7	Complete	scaffold_297	56310	75711	1195.6	889
EOG091H00C4	Missing
EOG091H00CS	Complete	scaffold_750	1027	13875	1622.8	1046
EOG091H00D9	Complete	scaffold_8276	1	3832	278.1	495
EOG091H00DA	Complete	scaffold_148	215485	221490	591.1	393
EOG091H00DB	Missing
EOG091H00DM	Complete	scaffold_825	67798	77259	1542.0	873
EOG091H00E0	Complete	scaffold_1509	1	6485	1641.9	846
EOG091H00EC	Duplicated	scaffold_2914	7470	23274	1822.0	927
EOG091H00EC	Duplicated	scaffold_674	62173	78771	1823.2	927
EOG091H00EN	Duplicated	scaffold_1658	7932	24846	340.2	290
EOG091H00EN	Duplicated	scaffold_2248	29335	45304	356.9	332
EOG091H00ER	Missing
EOG091H00EY	Complete	scaffold_2425	1	13585	1889.7	934
EOG091H00FN	Missing
EOG091H00G5	Complete	scaffold_929	60370	69568	579.4	834
EOG091H00GC	Complete	scaffold_1404	15972	18700	93.1	245
EOG091H00GI	Complete	scaffold_441	133140	139654	1655.8	862
EOG091H00GM	Complete	scaffold_150	104150	116508	932.3	790
EOG091H00GZ	Complete	scaffold_138	163895	180945	1222.2	729
EOG091H00H9	Complete	scaffold_463	112580	135034	1145.8	692
EOG091H00HI	Complete	scaffold_4	124715	138289	814.9	605
EOG091H00HN	Duplicated	scaffold_1684	55605	61135	1299.1	837
EOG091H00HN	Duplicated	scaffold_2429	35704	41277	1412.2	839
EOG091H00I6	Complete	scaffold_190	92157	107048	1089.0	582
EOG091H00IN	Complete	scaffold_250	35108	40826	1703.2	816
EOG091H00IO	Complete	scaffold_491	34238	43372	1010.1	600
EOG091H00JC	Complete	scaffold_452	37532	45226	899.1	743
EOG091H00JN	Fragmented	scaffold_24	175299	195156	875.3	712
EOG091H00JR	Missing
EOG091H00JS	Duplicated	scaffold_1332	43369	56198	1182.0	727
EOG091H00JS	Duplicated	scaffold_2158	30510	44256	1189.8	752
EOG091H00K1	Complete	scaffold_783	71623	78892	1417.5	819
EOG091H00K2	Missing
EOG091H00K6	Complete	scaffold_30	236327	243535	884.1	451
EOG091H00K8	Fragmented	scaffold_1929	12183	20001	1610.6	803
EOG091H00KI	Missing
EOG091H00KL	Complete	scaffold_3669	11890	18981	1266.2	747
EOG091H00KR	Duplicated	scaffold_1897	32433	48445	863.1	803
EOG091H00KR	Duplicated	scaffold_754	63350	82448	831.1	811
EOG091H00L2	Duplicated	scaffold_169	199242	217280	1004.5	562
EOG091H00L2	Duplicated	scaffold_169	226852	232650	1148.9	575
EOG091H00L8	Complete	scaffold_2042	35826	46862	1554.8	822
EOG091H00LE	Missing
EOG091H00LI	Complete	scaffold_575	43480	56863	334.6	565
EOG091H00LY	Duplicated	scaffold_2074	22591	28025	928.6	538
EOG091H00LY	Duplicated	scaffold_708	96601	111715	847.3	616
EOG091H00M0	Complete	scaffold_3318	4303	15749	1609.5	793
EOG091H00MA	Missing
EOG091H00ME	Complete	scaffold_189	15322	24119	923.2	704
EOG091H00MR	Complete	scaffold_1	118090	135078	982.7	927
EOG091H00MS	Complete	scaffold_397	885	12805	653.1	492
EOG091H00N0	Complete	scaffold_59	137330	143476	1686.9	903
EOG091H00N1	Complete	scaffold_582	6895	26453	1110.1	787
EOG091H00NA	Complete	scaffold_3350	12425	24513	1402.7	737
EOG091H00NH	Complete	scaffold_79	191138	194359	1635.9	752
EOG091H00NK	Duplicated	scaffold_130	213216	215840	347.5	297
EOG091H00NK	Duplicated	scaffold_3308	317	9691	338.7	249
EOG091H00NL	Complete	scaffold_340	9798	31457	650.6	642
EOG091H00NM	Duplicated	scaffold_1362	52464	60586	870.0	684
EOG091H00NM	Duplicated	scaffold_592	5653	14153	849.8	745
EOG091H00NT	Complete	scaffold_1093	53222	77120	557.4	526
EOG091H00O1	Missing
EOG091H00O6	Missing
EOG091H00OG	Complete	scaffold_196	12652	27696	911.5	604
EOG091H00OH	Duplicated	scaffold_148	15773	21277	234.3	344
EOG091H00OH	Duplicated	scaffold_167	213185	218469	260.5	359
EOG091H00OW	Missing
EOG091H00OX	Complete	scaffold_36	196947	203415	1082.2	843
EOG091H00P3	Duplicated	scaffold_3938	16778	21791	1413.8	710
EOG091H00P3	Duplicated	scaffold_964	13623	18687	1413.8	710
EOG091H00PN	Complete	scaffold_278	34074	43541	1163.9	775
EOG091H00PS	Complete	scaffold_1702	26581	46809	601.4	624
EOG091H00PT	Missing
EOG091H00PU	Complete	scaffold_348	4278	18246	965.1	664
EOG091H00Q7	Complete	scaffold_123	203273	212213	1324.8	745
EOG091H00Q9	Complete	scaffold_969	76420	82449	671.1	689
EOG091H00QE	Complete	scaffold_2964	38	16109	719.8	351
EOG091H00QH	Complete	scaffold_2612	7074	21351	1142.9	785
EOG091H00QS	Complete	scaffold_127	81973	88777	1051.4	605
EOG091H00QU	Complete	scaffold_190	47851	52755	677.1	543
EOG091H00R6	Complete	scaffold_263	18997	22575	672.8	600
EOG091H00RF	Missing
EOG091H00RU	Complete	scaffold_332	45170	59303	926.6	622
EOG091H00S9	Complete	scaffold_237	109367	118260	452.2	632
EOG091H00SJ	Duplicated	scaffold_145	36136	49834	710.7	474
EOG091H00SJ	Duplicated	scaffold_357	155942	169640	749.5	606
EOG091H00SK	Complete	scaffold_2030	629	13699	670.3	633
EOG091H00SU	Duplicated	scaffold_2893	20877	34159	734.6	666
EOG091H00SU	Duplicated	scaffold_320	53993	62350	804.7	705
EOG091H00T3	Missing
EOG091H00T6	Complete	scaffold_640	12215	17285	883.4	504
EOG091H00T7	Missing
EOG091H00TB	Duplicated	scaffold_3226	1	14975	1079.8	961
EOG091H00TB	Duplicated	scaffold_640	98471	112525	1109.1	988
EOG091H00TG	Missing
EOG091H00U7	Complete	scaffold_423	58964	70968	1134.0	718
EOG091H00UC	Complete	scaffold_28	370243	388250	932.9	747
EOG091H00UT	Complete	scaffold_1206	32330	44787	488.2	510
EOG091H00VB	Duplicated	scaffold_3010	19758	32056	793.1	560
EOG091H00VB	Duplicated	scaffold_3564	19202	25496	864.2	483
EOG091H00VG	Complete	scaffold_435	77205	81929	1264.7	783
EOG091H00VK	Complete	scaffold_302	139325	180126	605.9	509
EOG091H00VP	Complete	scaffold_2985	717	7654	487.9	554
EOG091H00VX	Complete	scaffold_507	12008	16684	1008.4	637
