"group_name"	"n"	"Length"	"Percentcov"
"EOG091H0002"	4775	7158	66.7085778150321
"EOG091H000H"	358	4292	8.34109972041007
"EOG091H0016"	565	3027	18.6653452262967
"EOG091H001E"	72	3226	2.23186608803472
"EOG091H0021"	715	2553	28.0062671367019
"EOG091H0025"	766	2165	35.3810623556582
"EOG091H0026"	1171	2104	55.6558935361217
"EOG091H0027"	943	2248	41.9483985765125
"EOG091H0029"	995	2098	47.4261201143947
"EOG091H002E"	1506	2145	70.2097902097902
"EOG091H002I"	449	2488	18.0466237942122
"EOG091H002T"	895	2396	37.3539232053422
"EOG091H0034"	837	2417	34.6297062474141
"EOG091H0037"	769	2017	38.1259295984135
"EOG091H003N"	990	1963	50.4330106979114
"EOG091H004B"	59	1722	3.42624854819977
"EOG091H004H"	836	1975	42.3291139240506
"EOG091H004L"	1015	1885	53.8461538461538
"EOG091H004P"	731	1633	44.7642375995101
"EOG091H004U"	1175	1856	63.3081896551724
"EOG091H005M"	183	1765	10.3682719546742
"EOG091H0061"	753	1610	46.7701863354037
"EOG091H0069"	640	1487	43.039677202421
"EOG091H006B"	535	1642	32.5822168087698
"EOG091H006J"	72	1645	4.37689969604863
"EOG091H006P"	544	1548	35.1421188630491
"EOG091H0074"	108	1470	7.34693877551021
"EOG091H007C"	404	1497	26.9873079492318
"EOG091H007E"	245	1437	17.0494084899095
"EOG091H007U"	593	1425	41.6140350877193
"EOG091H0081"	924	1322	69.8940998487141
"EOG091H008D"	205	1890	10.8465608465608
"EOG091H008P"	412	1285	32.0622568093385
"EOG091H008Q"	121	2025	5.97530864197531
"EOG091H008U"	479	1322	36.232980332829
"EOG091H008Z"	25	1490	1.67785234899329
"EOG091H0090"	453	1693	26.7572356763142
"EOG091H0092"	704	1226	57.4225122349103
"EOG091H00AU"	684	1262	54.1996830427892
"EOG091H00B7"	308	1493	20.629604822505
"EOG091H00C4"	70	1224	5.71895424836601
"EOG091H00CS"	533	1220	43.6885245901639
"EOG091H00D9"	68	1307	5.20275439938791
"EOG091H00DA"	206	1145	17.9912663755459
"EOG091H00DB"	610	1178	51.7826825127334
