"group_name"	"n"	"Length"	"Percentcov"
"EOG091H0002"	3837	5774	66.4530654658815
"EOG091H000H"	281	3582	7.84477945281965
"EOG091H0016"	475	2376	19.9915824915825
"EOG091H001E"	20	2156	0.927643784786642
"EOG091H0021"	414	1369	30.2410518626735
"EOG091H0025"	446	1068	41.7602996254682
"EOG091H0026"	986	1830	53.879781420765
"EOG091H0027"	346	946	36.5750528541226
"EOG091H0029"	783	1830	42.7868852459016
"EOG091H002E"	1337	1922	69.5629552549428
"EOG091H002I"	168	1449	11.5942028985507
"EOG091H002T"	636	1561	40.7431133888533
"EOG091H0034"	578	1901	30.4050499736981
"EOG091H0037"	633	1693	37.3892498523331
"EOG091H003H"	40	2147	1.86306474149977
"EOG091H003N"	987	1808	54.5907079646018
"EOG091H003X"	1	1479	0.0676132521974307
"EOG091H004B"	33	1449	2.27743271221532
"EOG091H004H"	738	1486	49.6635262449529
"EOG091H004L"	777	1540	50.4545454545455
"EOG091H004P"	703	1474	47.6933514246947
"EOG091H004U"	1114	1657	67.2299336149668
"EOG091H005M"	259	1313	19.7258187357197
"EOG091H0061"	552	1131	48.8063660477454
"EOG091H0069"	291	1137	25.5936675461741
"EOG091H006B"	333	990	33.6363636363636
"EOG091H006J"	20	1293	1.54679040989946
"EOG091H006P"	440	1146	38.3944153577661
"EOG091H0074"	152	1153	13.1830008673027
"EOG091H007C"	364	1161	31.3522825150732
"EOG091H007E"	184	1137	16.1829375549692
"EOG091H007U"	471	952	49.4747899159664
"EOG091H0081"	752	1098	68.488160291439
"EOG091H008D"	230	499	46.0921843687375
"EOG091H008P"	405	1044	38.7931034482759
"EOG091H008Q"	79	1299	6.08160123171671
"EOG091H008U"	379	1107	34.2366757000903
"EOG091H008Z"	51	1302	3.91705069124424
"EOG091H0090"	305	872	34.9770642201835
"EOG091H0092"	562	1043	53.8830297219559
"EOG091H00AU"	674	1137	59.2788038698329
"EOG091H00B7"	299	881	33.938706015891
"EOG091H00C4"	78	827	9.4316807738815
"EOG091H00CS"	543	1060	51.2264150943396
"EOG091H00D9"	52	1158	4.49050086355786
"EOG091H00DA"	230	904	25.4424778761062
"EOG091H00DB"	616	1002	61.4770459081836
"EOG091H00DM"	792	999	79.2792792792793
"EOG091H00E0"	693	871	79.5637198622273
"EOG091H00EC"	800	923	86.6738894907909
"EOG091H00EN"	64	379	16.8865435356201
"EOG091H00ER"	487	878	55.4669703872437
"EOG091H00EY"	717	936	76.6025641025641
"EOG091H00FN"	382	971	39.340885684861
"EOG091H00G5"	42	1111	3.78037803780378
"EOG091H00GC"	23	953	2.41343126967471
"EOG091H00GI"	636	854	74.4730679156909
"EOG091H00GM"	263	701	37.5178316690442
"EOG091H00GZ"	334	728	45.8791208791209
"EOG091H00H9"	350	808	43.3168316831683
"EOG091H00HI"	210	679	30.9278350515464
"EOG091H00HN"	496	840	59.0476190476191
"EOG091H00I6"	572	831	68.8327316486161
"EOG091H00IN"	711	824	86.2864077669903
"EOG091H00IO"	447	874	51.1441647597254
"EOG091H00JC"	363	767	47.3272490221643
"EOG091H00JN"	317	1051	30.1617507136061
"EOG091H00JR"	310	818	37.8973105134474
