"group_name"	"n"	"Length"	"Percentcov"
"EOG091H0002"	4711	7158	65.8144733165689
"EOG091H000H"	364	4292	8.48089468779124
"EOG091H0016"	73	3027	2.41162867525603
"EOG091H001E"	129	3226	3.99876007439554
"EOG091H0021"	752	2553	29.4555424990208
"EOG091H0025"	742	2165	34.2725173210162
"EOG091H0026"	1201	2104	57.0817490494297
"EOG091H0027"	909	2248	40.4359430604982
"EOG091H0029"	1049	2098	50
"EOG091H002E"	1518	2145	70.7692307692308
"EOG091H002I"	513	2488	20.6189710610932
"EOG091H002T"	131	2396	5.46744574290484
"EOG091H0034"	831	2417	34.3814646255689
"EOG091H0037"	874	2017	43.3316807139316
"EOG091H003N"	656	1963	33.4182373917473
"EOG091H003X"	26	1898	1.36986301369863
"EOG091H004B"	26	1722	1.50987224157956
"EOG091H004H"	880	1975	44.5569620253165
"EOG091H004L"	336	1885	17.8249336870027
"EOG091H004P"	254	1633	15.5541947336191
"EOG091H004U"	1205	1856	64.9245689655172
"EOG091H005M"	109	1765	6.1756373937677
"EOG091H0061"	296	1610	18.3850931677019
"EOG091H0069"	629	1487	42.2999327505044
"EOG091H006B"	511	1642	31.1205846528624
"EOG091H006J"	45	1645	2.73556231003039
"EOG091H006P"	617	1548	39.8578811369509
"EOG091H0074"	161	1470	10.952380952381
"EOG091H007C"	410	1497	27.3881095524382
"EOG091H007E"	243	1437	16.9102296450939
"EOG091H007U"	651	1425	45.6842105263158
"EOG091H0081"	947	1322	71.6338880484115
"EOG091H008D"	178	1890	9.41798941798942
"EOG091H008P"	413	1285	32.1400778210117
"EOG091H008Q"	133	2025	6.5679012345679
"EOG091H008U"	474	1322	35.8547655068079
"EOG091H008Z"	47	1490	3.15436241610738
"EOG091H0090"	452	1693	26.6981689308919
"EOG091H0092"	763	1226	62.2349102773246
"EOG091H00AU"	669	1262	53.0110935023772
"EOG091H00B7"	287	1493	19.2230408573342
"EOG091H00C4"	67	1224	5.47385620915033
"EOG091H00CS"	540	1220	44.2622950819672
"EOG091H00D9"	61	1307	4.66717674062739
"EOG091H00DA"	254	1145	22.1834061135371
"EOG091H00DB"	649	1178	55.0933786078099
"EOG091H00DM"	814	1200	67.8333333333333
"EOG091H00E0"	914	1059	86.3078375826251
"EOG091H00EC"	884	1029	85.9086491739553
"EOG091H00EN"	255	1718	14.8428405122235
"EOG091H00ER"	58	1139	5.09218612818262
"EOG091H00EY"	684	1151	59.4265855777585
"EOG091H00FN"	588	1080	54.4444444444444
"EOG091H00GI"	829	974	85.1129363449692
"EOG091H00GM"	30	1091	2.74977085242896
"EOG091H00GZ"	438	997	43.9317953861585
"EOG091H00H9"	400	1266	31.5955766192733
"EOG091H00HI"	7	1112	0.629496402877698
"EOG091H00HN"	628	968	64.8760330578512
"EOG091H00I6"	748	920	81.304347826087
